"","Subject","Condition","X2","T2","X1","T1","LaterOptionChosen"
"437",2,1,1.22,6,1,0,1
"438",2,1,1.22,7,1,0,1
"439",2,1,1.57,2,1,0,1
"440",2,1,1.57,3,1,0,1
"441",2,1,1.57,4,1,0,1
"442",2,1,1.57,5,1,0,1
"443",2,1,1.57,6,1,0,1
"444",2,1,1.57,7,1,0,1
"445",2,1,1.52,2,1,0,1
"446",2,1,1.52,3,1,0,1
"447",2,1,1.52,4,1,0,1
"448",2,1,1.52,5,1,0,1
"449",2,1,1.52,6,1,0,1
"450",2,1,1.52,7,1,0,1
"451",2,1,1.04,2,1,0,1
"452",2,1,1.04,3,1,0,1
"453",2,1,1.04,4,1,0,1
"454",2,1,1.04,5,1,0,1
"455",2,1,1.04,6,1,0,1
"456",2,1,1.04,7,1,0,1
"457",2,1,1.48,2,1,0,1
"458",2,1,1.48,3,1,0,1
"459",2,1,1.48,4,1,0,1
"460",2,1,1.48,5,1,0,1
"461",2,1,1.48,6,1,0,1
"462",2,1,1.48,7,1,0,1
"463",2,1,1.06,2,1,0,1
"464",2,1,1.06,3,1,0,1
"465",2,1,1.06,4,1,0,1
"466",2,1,1.06,5,1,0,1
"467",2,1,1.06,6,1,0,1
"468",2,1,1.06,7,1,0,1
"469",2,1,1.18,2,1,0,1
"470",2,1,1.18,3,1,0,1
"471",2,1,1.18,4,1,0,1
"472",2,1,1.18,5,1,0,1
"473",2,1,1.18,6,1,0,1
"474",2,1,1.18,7,1,0,1
"475",2,1,1.41,2,1,0,1
"476",2,1,1.41,3,1,0,1
"477",2,1,1.41,4,1,0,1
"478",2,1,1.41,5,1,0,1
"479",2,1,1.41,6,1,0,1
"480",2,1,1.41,7,1,0,1
"481",3,0,1.25,2,1,0,1
"482",3,0,1.25,3,1,0,1
"483",3,0,1.25,4,1,0,1
"484",3,0,1.25,5,1,0,1
"485",3,0,1.25,6,1,0,1
"486",3,0,1.25,7,1,0,1
"487",3,0,1.33,2,1,0,1
"488",3,0,1.33,3,1,0,1
"489",3,0,1.33,4,1,0,1
"490",3,0,1.33,5,1,0,1
"491",3,0,1.33,6,1,0,1
"492",3,0,1.33,7,1,0,1
"493",3,0,1.21,2,1,0,1
"494",3,0,1.21,3,1,0,1
"495",3,0,1.21,4,1,0,1
"496",3,0,1.21,5,1,0,1
"497",3,0,1.21,6,1,0,0
"498",3,0,1.21,7,1,0,0
"499",3,0,1.15,2,1,0,1
"500",3,0,1.15,3,1,0,1
"501",3,0,1.15,4,1,0,1
"502",3,0,1.15,5,1,0,0
"503",3,0,1.15,6,1,0,0
"504",3,0,1.15,7,1,0,0
"505",3,0,1.37,2,1,0,1
"506",3,0,1.37,3,1,0,1
"507",3,0,1.37,4,1,0,1
"508",3,0,1.37,5,1,0,1
"509",3,0,1.37,6,1,0,1
"510",3,0,1.37,7,1,0,1
"511",3,0,1.44,2,1,0,1
"512",3,0,1.44,3,1,0,1
"513",3,0,1.44,4,1,0,1
"514",3,0,1.44,5,1,0,1
"515",3,0,1.44,6,1,0,1
"516",3,0,1.44,7,1,0,1
"517",3,0,1.31,2,1,0,1
"518",3,0,1.31,3,1,0,1
"519",3,0,1.31,4,1,0,1
"520",3,0,1.31,5,1,0,1
"521",3,0,1.31,6,1,0,1
"522",3,0,1.31,7,1,0,1
"523",3,0,1.19,2,1,0,1
"524",3,0,1.19,3,1,0,1
"525",3,0,1.19,4,1,0,1
"526",3,0,1.19,5,1,0,0
"527",3,0,1.19,6,1,0,0
"528",3,0,1.19,7,1,0,0
"529",3,0,1.39,2,1,0,1
"530",3,0,1.39,3,1,0,1
"531",3,0,1.39,4,1,0,1
"532",3,0,1.39,5,1,0,1
"533",3,0,1.39,6,1,0,1
"534",3,0,1.39,7,1,0,1
"535",3,0,1.24,2,1,0,1
"536",3,0,1.24,3,1,0,1
"537",3,0,1.24,4,1,0,1
"538",3,0,1.24,5,1,0,1
"539",3,0,1.24,6,1,0,1
"540",3,0,1.24,7,1,0,1
"541",3,0,1.03,2,1,0,0
"542",3,0,1.03,3,1,0,0
"543",3,0,1.03,4,1,0,0
"544",3,0,1.03,5,1,0,0
"545",3,0,1.03,6,1,0,0
"546",3,0,1.03,7,1,0,0
"547",3,0,1.45,2,1,0,1
"548",3,0,1.45,3,1,0,1
"549",3,0,1.45,4,1,0,1
"550",3,0,1.45,5,1,0,1
"551",3,0,1.45,6,1,0,1
"552",3,0,1.45,7,1,0,1
"553",3,0,1.28,2,1,0,1
"554",3,0,1.28,3,1,0,1
"555",3,0,1.28,4,1,0,1
"556",3,0,1.28,5,1,0,1
"557",3,0,1.28,6,1,0,1
"558",3,0,1.28,7,1,0,1
"559",3,0,1.4,2,1,0,1
"560",3,0,1.4,3,1,0,1
"561",3,0,1.4,4,1,0,1
"562",3,0,1.4,5,1,0,1
"563",3,0,1.4,6,1,0,1
"564",3,0,1.4,7,1,0,1
"565",3,0,1.23,2,1,0,1
"566",3,0,1.23,3,1,0,1
"567",3,0,1.23,4,1,0,1
"568",3,0,1.23,5,1,0,1
"569",3,0,1.23,6,1,0,0
"570",3,0,1.23,7,1,0,0
"571",3,0,1.59,2,1,0,1
"572",3,0,1.59,3,1,0,1
"573",3,0,1.59,4,1,0,1
"574",3,0,1.59,5,1,0,1
"575",3,0,1.59,6,1,0,1
"576",3,0,1.59,7,1,0,1
"577",3,0,1.2,2,1,0,1
"578",3,0,1.2,3,1,0,1
"579",3,0,1.2,4,1,0,1
"580",3,0,1.2,5,1,0,1
"581",3,0,1.2,6,1,0,0
"582",3,0,1.2,7,1,0,0
"583",3,0,1.26,2,1,0,1
"584",3,0,1.26,3,1,0,1
"585",3,0,1.26,4,1,0,1
"586",3,0,1.26,5,1,0,1
"587",3,0,1.26,6,1,0,1
"588",3,0,1.26,7,1,0,1
"589",3,0,1.29,2,1,0,1
"590",3,0,1.29,3,1,0,1
"591",3,0,1.29,4,1,0,1
"592",3,0,1.29,5,1,0,1
"593",3,0,1.29,6,1,0,1
"594",3,0,1.29,7,1,0,1
"595",3,0,1.18,2,1,0,1
"596",3,0,1.18,3,1,0,1
"597",3,0,1.18,4,1,0,1
"598",3,0,1.18,5,1,0,1
"599",3,0,1.18,6,1,0,0
"600",3,0,1.18,7,1,0,0
"601",3,0,1.49,2,1,0,1
"602",3,0,1.49,3,1,0,1
"603",3,0,1.49,4,1,0,1
"604",3,0,1.49,5,1,0,1
"605",3,0,1.49,6,1,0,1
"606",3,0,1.49,7,1,0,1
"607",3,0,1.13,2,1,0,1
"608",3,0,1.13,3,1,0,1
"609",3,0,1.13,4,1,0,1
"610",3,0,1.13,5,1,0,0
"611",3,0,1.13,6,1,0,0
"612",3,0,1.13,7,1,0,0
"613",3,0,1.36,2,1,0,1
"614",3,0,1.36,3,1,0,1
"615",3,0,1.36,4,1,0,1
"616",3,0,1.36,5,1,0,1
"617",3,0,1.36,6,1,0,1
"618",3,0,1.36,7,1,0,1
"619",3,0,1.35,2,1,0,1
"620",3,0,1.35,3,1,0,1
"621",3,0,1.35,4,1,0,1
"622",3,0,1.35,5,1,0,1
"623",3,0,1.35,6,1,0,1
"624",3,0,1.35,7,1,0,1
"625",3,0,1.43,2,1,0,1
"626",3,0,1.43,3,1,0,1
"627",3,0,1.43,4,1,0,1
"628",3,0,1.43,5,1,0,1
"629",3,0,1.43,6,1,0,1
"630",3,0,1.43,7,1,0,1
"631",3,0,1.27,2,1,0,1
"632",3,0,1.27,3,1,0,1
"633",3,0,1.27,4,1,0,1
"634",3,0,1.27,5,1,0,1
"635",3,0,1.27,6,1,0,1
"636",3,0,1.27,7,1,0,1
"637",3,0,1.32,2,1,0,1
"638",3,0,1.32,3,1,0,1
"639",3,0,1.32,4,1,0,1
"640",3,0,1.32,5,1,0,1
"641",3,0,1.32,6,1,0,1
"642",3,0,1.32,7,1,0,1
"643",3,0,1.38,2,1,0,1
"644",3,0,1.38,3,1,0,1
"645",3,0,1.38,4,1,0,1
"646",3,0,1.38,5,1,0,1
"647",3,0,1.38,6,1,0,1
"648",3,0,1.38,7,1,0,1
"649",3,0,1.06,2,1,0,1
"650",3,0,1.06,3,1,0,0
"651",3,0,1.06,4,1,0,0
"652",3,0,1.06,5,1,0,0
"653",3,0,1.06,6,1,0,0
"654",3,0,1.06,7,1,0,0
"655",3,0,1.41,2,1,0,1
"656",3,0,1.41,3,1,0,1
"657",3,0,1.41,4,1,0,1
"658",3,0,1.41,5,1,0,1
"659",3,0,1.41,6,1,0,1
"660",3,0,1.41,7,1,0,1
"661",3,0,1.48,2,1,0,1
"662",3,0,1.48,3,1,0,1
"663",3,0,1.48,4,1,0,1
"664",3,0,1.48,5,1,0,1
"665",3,0,1.48,6,1,0,1
"666",3,0,1.48,7,1,0,1
"667",3,0,1.34,2,1,0,1
"668",3,0,1.34,3,1,0,1
"669",3,0,1.34,4,1,0,1
"670",3,0,1.34,5,1,0,1
"671",3,0,1.34,6,1,0,1
"672",3,0,1.34,7,1,0,1
"673",3,0,1.17,2,1,0,1
"674",3,0,1.17,3,1,0,1
"675",3,0,1.17,4,1,0,1
"676",3,0,1.17,5,1,0,1
"677",3,0,1.17,6,1,0,0
"678",3,0,1.17,7,1,0,0
"679",3,0,1.42,2,1,0,1
"680",3,0,1.42,3,1,0,1
"681",3,0,1.42,4,1,0,1
"682",3,0,1.42,5,1,0,1
"683",3,0,1.42,6,1,0,1
"684",3,0,1.42,7,1,0,1
"685",3,0,1.11,2,1,0,1
