Subject,Condition,X2,T2,X1,T1,LaterOptionChosen
41,1,-14,365,-10,0,0
41,1,-16,365,-10,0,0
41,1,-18,365,-10,0,0
42,1,2,365,10,0,0
42,1,4,365,10,0,0
42,1,6,365,10,0,0
42,1,8,365,10,0,0
42,1,10,365,10,0,0
42,1,12,365,10,0,1
42,1,14,365,10,0,1
42,1,16,365,10,0,1
42,1,18,365,10,0,1
42,1,-2,365,-10,0,1
42,1,-4,365,-10,0,1
42,1,-6,365,-10,0,1
42,1,-8,365,-10,0,1
42,1,-10,365,-10,0,0
42,1,-12,365,-10,0,0
42,1,-14,365,-10,0,0
42,1,-16,365,-10,0,0
42,1,-18,365,-10,0,0
43,1,2,365,10,0,0
43,1,4,365,10,0,0
43,1,6,365,10,0,0
43,1,8,365,10,0,0
43,1,10,365,10,0,0
43,1,12,365,10,0,1
43,1,14,365,10,0,1
43,1,16,365,10,0,1
43,1,18,365,10,0,1
43,1,-2,365,-10,0,0
43,1,-4,365,-10,0,0
43,1,-6,365,-10,0,0
43,1,-8,365,-10,0,0
43,1,-10,365,-10,0,0
43,1,-12,365,-10,0,0
43,1,-14,365,-10,0,0
43,1,-16,365,-10,0,0
43,1,-18,365,-10,0,0
44,1,2,365,10,0,0
44,1,4,365,10,0,0
44,1,6,365,10,0,0
44,1,8,365,10,0,0
44,1,10,365,10,0,0
44,1,12,365,10,0,0
44,1,14,365,10,0,0
44,1,16,365,10,0,0
44,1,18,365,10,0,1
44,1,-2,365,-10,0,1
44,1,-4,365,-10,0,1
44,1,-6,365,-10,0,1
44,1,-8,365,-10,0,0
44,1,-10,365,-10,0,0
44,1,-12,365,-10,0,0
44,1,-14,365,-10,0,0
44,1,-16,365,-10,0,0
44,1,-18,365,-10,0,0
45,1,2,365,10,0,1
45,1,4,365,10,0,1
45,1,6,365,10,0,1
45,1,8,365,10,0,1
45,1,10,365,10,0,1
45,1,12,365,10,0,1
45,1,14,365,10,0,1
45,1,16,365,10,0,1
45,1,18,365,10,0,1
45,1,-2,365,-10,0,0
45,1,-4,365,-10,0,0
45,1,-6,365,-10,0,0
45,1,-8,365,-10,0,0
